Wall time,Step,Value
1552602208.213672,0,3.355130195617676
1552602737.9936018,1,3.2932136058807373
1552603266.1003783,2,3.20512318611145
1552603799.1257179,3,3.1139724254608154
1552604333.4088392,4,3.065887451171875
1552604861.4726741,5,3.0166025161743164
1552605394.2618327,6,3.052072048187256
1552605933.5064757,7,3.0209643840789795
1552606465.3386693,8,2.9819180965423584
1552607023.2952998,9,2.9730491638183594
1552607564.8480186,10,2.8792917728424072
1552608097.5382972,11,2.92214035987854
1552608660.968588,12,3.0270447731018066
1552609187.6097913,13,2.9770514965057373
1552609715.4386108,14,2.8253464698791504
1552610241.6676927,15,2.855478048324585
1552610769.2313154,16,2.801724910736084
1552611307.1405573,17,2.7663228511810303
1552611835.4762576,18,2.8194355964660645
1552612366.4823427,19,2.839055061340332
1552612894.0015113,20,2.8445162773132324
1552613432.0602362,21,2.739527463912964
1552613965.2480984,22,2.74125599861145
1552614498.9001296,23,2.715028762817383
1552615029.077531,24,2.6795549392700195
1552615560.0297751,25,2.6166787147521973
1552616089.9469845,26,2.7806408405303955
1552616622.3370686,27,2.697958469390869
1552617161.9103227,28,2.806499719619751
1552617692.1697931,29,2.717926502227783
1552618221.193755,30,2.6567041873931885
1552618751.9976826,31,2.672041177749634
1552619286.978364,32,2.6445913314819336
1552619818.5600832,33,2.7246592044830322
1552620350.4154809,34,2.6730432510375977
1552620881.903454,35,2.7186548709869385
1552621412.0861216,36,2.597435712814331
1552621942.2959702,37,2.529214859008789
1552622472.1702795,38,2.5855557918548584
1552623001.1870608,39,2.534058094024658
1552623531.7357738,40,2.5140929222106934
1552624065.9308453,41,2.555966377258301
1552624601.2685993,42,2.4356038570404053
1552625130.4204733,43,2.599724292755127
1552625659.6956646,44,2.58050799369812
1552626194.6275342,45,2.6128060817718506
1552626724.3714194,46,2.6622376441955566
1552627258.6835938,47,2.383509874343872
1552627789.8615015,48,2.5728349685668945
1552628321.121508,49,2.4645047187805176
1552628853.5606272,50,2.6001081466674805
1552629384.4743078,51,2.470335006713867
1552629918.5605638,52,2.4749107360839844
1552630453.6962054,53,2.599057674407959
1552630985.2519863,54,2.519326686859131
1552631516.8036017,55,2.5253403186798096
1552632048.4228375,56,2.558690309524536
1552632583.9541156,57,2.369001865386963
1552633115.452369,58,2.4748995304107666
1552633647.3422701,59,2.524918794631958
1552634179.0491016,60,2.3297317028045654
1552634710.415121,61,2.4740524291992188
1552635241.583044,62,2.3984270095825195
1552635776.9804444,63,2.463411331176758
1552636309.0404718,64,2.3383941650390625
1552636842.1681685,65,2.243433952331543
1552637377.4530294,66,2.2567362785339355
1552637908.559561,67,2.2905385494232178
1552638440.351845,68,2.288114070892334
1552638971.9215612,69,2.3114101886749268
1552639503.6795616,70,2.2649734020233154
1552640035.4028878,71,2.405823230743408
1552640565.973182,72,2.6807022094726562
1552641101.832778,73,2.530609369277954
1552641632.2667146,74,2.415515422821045
1552642168.6171029,75,2.467468023300171
1552642700.5623565,76,2.385580062866211
1552643232.067139,77,2.4164700508117676
1552643763.682815,78,2.4766056537628174
1552644296.7670639,79,2.455944776535034
1552644828.341695,80,2.4954991340637207
1552645360.6057472,81,2.521782159805298
1552645893.9172113,82,2.3199594020843506
1552646425.1832702,83,2.1232340335845947
1552646956.460538,84,2.3942675590515137
1552647487.4331133,85,2.3114914894104004
1552648020.8589253,86,2.2905099391937256
1552648552.2635107,87,2.3439817428588867
1552649084.9155612,88,2.2434396743774414
1552649617.0905635,89,2.505507469177246
1552650149.1022933,90,2.5038599967956543
1552650681.0367649,91,2.344212055206299
1552651212.8494844,92,2.3789639472961426
1552651744.5259826,93,2.6595451831817627
1552652276.2048771,94,2.3509418964385986
1552652817.5156007,95,2.232595205307007
1552653364.8018415,96,2.459383010864258
1552653897.2219286,97,2.300173044204712
1552654429.514259,98,2.3372955322265625
1552654963.563295,99,2.3736021518707275
1552655494.7108767,100,2.3639848232269287
1552656030.6430712,101,2.037088394165039
1552656567.6900716,102,2.3976211547851562
1552657099.5679255,103,2.3972864151000977
1552657630.9457443,104,2.4611449241638184
1552658167.7397509,105,2.3622424602508545
1552658699.8357418,106,2.4925081729888916
1552659231.500766,107,2.3354408740997314
1552659764.6701772,108,2.55361008644104
1552660298.329031,109,2.5447497367858887
1552660830.1892073,110,2.4810526371002197
1552661431.3479385,111,2.5231387615203857
